Age,Gender,Whatsapp,Instagram,Snapchat,Telegram,Facebook,BeReal,TikTok,WeChat,Twitter,Linkedin,Messages,TotalSocialMediaScreenTime,Number of times opened (hourly intervals),Daily Usage Hours,App Switching Frequency,Notification Response Time,Screen Time Awareness,Social Pressure,FOMO Level,Sleep Quality,Academic Performance,Content Type Preference,Purchase via Social Media,SocialMediaAddiction
13,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
14,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
14,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
19,Female,6.5,7.8,2.2,0.35,0,0.28,0,0,0,2.9,0.38,20.12,107,6,High,Moderate,Medium,Low,Medium,Fair,Good,Mixed,No,Not Addicted
20,Male,10.5,12.1,3.5,0.22,0,0.15,0,0,0,5.2,0.28,31.63,120,7,High,Immediate,Low,High,High,Fair,Average,Entertainment,Yes,Addicted
21,Female,4.8,5.5,1.4,0.58,0,0.42,0,0,0,1.6,0.55,14.53,78,4.5,Medium,Moderate,High,Low,Low,Good,Good,Mixed,No,Not Addicted
22,Female,11.3,13.2,4.5,0.1,0,0.08,0,0,0,6.1,0.18,35.38,130,7.3,Very High,Immediate,Low,Very High,Very High,Poor,Below Average,Entertainment,Yes,Addicted
18,Male,3.2,3.8,0.7,0.68,0,0.55,0,0,0,0.9,0.72,10.22,58,3.2,Medium,Slow,High,Low,Low,Excellent,Excellent,Mixed,No,Not Addicted
